slug,alpha,h_inf,bpc_32768,role,domain,source,beta,scaffold_frac,gamma_naive,gamma,gamma_star,margin,learnability,region,health
agentnet-text,0.1357184872422519,0.0,1.842376708984375,TRAIN,gui,human_demo,1.299,0.0157,0.35259662985537044,0.0157,0.34332260548744253,0.32762260548744254,0.26458850478110657,emergent,pooled
agentnet-actions,0.422753689114838,1.4289313260688763,1.8141732564786583,TRAIN,gui,human_demo,0.2268,0.0898,0.19176107338249052,0.0898,-0.11917697738906308,-0.20897697738906307,0.15871258521717735,chaos,healthy
rebel-alfworld-actions,0.5162727285440404,0.4326304517356247,0.6698404947916666,TRAIN,embodied,distill,0.398,0.0484,0.41095309192105617,0.0484,0.029854632470109693,-0.018545367529890305,0.19628103878561032,chaos,mid
jetbrains-swe-assistant-only,0.2385354187464671,0.7153940663332634,2.15998649597168,TRAIN,swe,frontier,0.4715,0.0461,0.22493889987791849,0.0461,0.07476341311921442,0.028663413119214415,0.20559726794767894,emergent,healthy
swe-rebench-oh-assistant-only,0.2273624238609131,0.6572130957772133,2.202157020568848,TRAIN,swe,frontier,0.889,0.0919,0.4042503896247035,0.0919,0.2428206184809184,0.15092061848091842,0.22974218432661145,emergent,healthy
jetbrains-swesmith-subset,0.3016300654666834,1.248802568335457,2.097375869750977,TRAIN,swe,frontier,0.6449,0.2781,0.38904245843892826,0.2781,0.15775509656406161,-0.1203449034359384,0.17627238132188838,chaos,healthy
gdpval-tasks,0.2338050536878228,1.6694202955387718,2.8671061197916665,EVAL_TASK,mixed,human_task,1.0608,0.0466,0.49604080190408484,0.0466,0.2896411852191072,0.2430411852191072,0.24790672070550682,emergent,healthy
gui-odyssey-actions,0.3424116285679995,1.550095246467675,2.1469137257543105,EVAL_TASK,gui,human_demo,0.3029,0.2004,0.2074329645864941,0.2004,-0.0425034286514705,-0.2429034286514705,0.15205656106237014,chaos,healthy
cua-agentnet-gimp-text,0.187316409951251,0.0,1.027626953125,TRAIN,gui,human_demo,0.1267,0.4934,0.04746597828164701,0.4934,-0.27347229578858656,-0.7668722957885865,0.048751894076441205,chaos,pooled
android-control-text,0.505290077576577,1.2487404227304766,1.5264718191964286,EVAL_TASK,gui,human_demo,0.5319,0.1849,0.5375275845259626,0.1849,0.10670555903302575,-0.07819444096697425,0.18455772165066886,chaos,healthy
tiger-browseragent-sft,0.1838559514748067,0.0,1.5060672760009766,TRAIN,web,distill,0.3758,0.4358,0.13818613312846473,0.4358,0.014644979119265433,-0.4211550208807346,0.11696148455825503,chaos,pooled
saital-browser-reasoning-action,-0.0892294199300633,15.044449183941753,0.6052223061615566,EXCLUDED,web,distill,0.3926,0.7401,-0.0700629405290857,0.7401,0.02623454075795928,-0.7138654592420407,0.05930168294958971,chaos,healthy
saital-browser-action-only,-0.0398778105159627,29.7194221205766,0.4299919899929775,EXCLUDED,web,distill,0.3692,0.8715,-0.029445775284986857,0.8715,0.009949554266338423,-0.8615504457336616,0.03020190259671507,chaos,healthy
qwen35-9b-react-hotpot,0.1274305589273706,0.0,2.3800096142199614,TRAIN,search,mid,0.6837,0.2854,0.17424854627728656,0.2854,0.17323744567346697,-0.11216255432653302,0.17788985437253707,chaos,pooled
dcagent3-financeagent-a3rl,0.1907454687859683,0.0,1.9442682266235352,TRAIN,terminal,mid,0.2669,0.2096,0.10181993123794988,0.2096,-0.07603352398148949,-0.2856335239814895,0.14362671205950225,chaos,pooled
openthoughts-agent-v1-sft,0.1369656699514341,0.0,1.3776617050170898,TRAIN,terminal,distill,0.4809,0.3659,0.13173358135928934,0.3659,0.07999457836489218,-0.2859054216351078,0.1436290828244674,chaos,pooled
nl2bash-teacher-glm46,0.1345442708053432,0.0,1.373321533203125,TRAIN,terminal,frontier,0.4754,0.3659,0.12792469268172033,0.3659,0.07694633812514848,-0.2889536618748515,0.14302748673186894,chaos,pooled
nl2bash-teacher-qwen3coder480b,0.1560594697220406,0.0,1.377030372619629,TRAIN,terminal,frontier,0.397,0.3769,0.12391121895930024,0.3769,0.029187965451839187,-0.3477120345481608,0.1314349663891743,chaos,pooled
nl2bash-teacher-minimax-m27,0.1521048922420859,0.0,1.5749168395996094,TRAIN,terminal,frontier,0.4848,0.219,0.14748090351792648,0.219,0.08213500627983644,-0.13686499372016356,0.1729908144469262,chaos,pooled
inferredbugs-teacher-glm46,0.2270265533908725,0.0,1.3851556777954102,TRAIN,swe,frontier,0.6564,0.1599,0.2980404592915374,0.1599,0.16243899626195668,0.002538996261956694,0.20048218869622766,emergent,pooled
inferredbugs-teacher-glm46-131k,0.2445735053941614,0.2232997209437959,1.6217997782939189,TRAIN,swe,frontier,0.5428,0.1501,0.26550899745590156,0.1501,0.11208119697932292,-0.03801880302067709,0.19247424944157956,chaos,mid
inferredbugs-teacher-glm47,0.2271583137703709,0.0,1.4822444915771484,TRAIN,swe,frontier,0.6679,0.1335,0.3034380755344615,0.1335,0.16704154342860514,0.03354154342860513,0.2065913404577964,emergent,pooled
inferredbugs-teacher-minimax-m27,0.2545908624769542,0.1689376694271538,1.4954900741577148,TRAIN,swe,frontier,0.5811,0.1916,0.2958855003707162,0.1916,0.13014940872621455,-0.06145059127378544,0.18786466443917366,chaos,mid
inferredbugs-teacher-qwen35-122b,0.2528198902955563,0.2018794530218481,1.556563377380371,TRAIN,swe,frontier,0.5789,0.1171,0.2927148689841951,0.1171,0.12914423510724782,0.012044235107247822,0.2023427848909776,emergent,mid
inferredbugs-teacher-kimi25,0.25779812955903,0.2787176141614056,1.5506057739257812,TRAIN,swe,frontier,0.6193,0.1649,0.3193087632718145,0.1649,0.14702115017489772,-0.017878849825102267,0.19645434586470623,chaos,mid
inferredbugs-teacher-gpt5nano,0.2322270111526289,0.0,1.5314207077026367,TRAIN,swe,frontier,0.5431,0.1622,0.2522449795139855,0.1622,0.11222761930554562,-0.049972380694454394,0.19011944713086804,chaos,pooled
inferredbugs-tasks-clean,0.2364745889153183,0.0,0.8427959469193262,EVAL_TASK,swe,human_task,0.674,0.4747,0.3187677458578491,0.4747,0.16945083046149506,-0.30524916953850495,0.13985043370994787,chaos,pooled
coderforge-32b-swebench-verified-eval,0.2841811552869114,0.8315627803322722,1.728074073791504,EVAL_TRAJ,swe,mid,0.153,0.3003,0.08695943351779489,0.3003,-0.2234890997612709,-0.5237890997612709,0.09665720219805861,chaos,healthy
terminal-bench2-qwen3-32b,0.2822451079290917,0.0,0.9733800888061525,EVAL_TRAJ,terminal,mid,0.3251,0.085,0.18351576917549542,0.085,-0.023759949693153537,-0.10875994969315354,0.1784895457775399,chaos,pooled
